loan_id,origination_date,loan_amount,interest_rate,term_months,credit_score,dti,ltv,employment_length_years,annual_income,loan_purpose,status
37d0cf99-faa7-4eed-afdb-7aa51e5c3fa0,2024-08-02,19228.763897007277,0.15655535650513935,120,666,0.33482862476668185,0.502914204865939,2.0,15331.258934519125,debt_consolidation,Current
e61909ab-f503-466e-bb83-ca1638271c5c,2021-08-17,13998.050228403406,0.09505890060560582,36,684,0.32833235925356663,0.6417521529594693,0.0,175827.46982317217,other,Prepaid
9bba227c-76fe-4a61-907d-3d27bf07955a,2021-02-21,20736.480043597578,0.10267465461930513,60,670,0.20634801541945086,0.7119457390561121,,45931.84186452266,other,Current
12b90060-7b67-48ab-a733-eb07a66e54ed,2025-02-27,32122.77015556023,0.1461510305068865,36,705,0.3579584221763738,0.8224503366387037,,85591.0126409302,major_purchase,Current
479e18cd-3d56-4e84-ab2d-4f9e787f924c,2022-07-18,13342.754637565597,0.06889444145658194,60,759,,0.9536243489910318,5.0,67733.52952181234,home_improvement,Current
8bb6f27b-0884-442b-bed9-784b913d4cf5,2022-05-17,13342.86416718128,0.09926284498279599,360,661,0.23458156742396713,0.9041203915057647,0.0,103739.17384861766,major_purchase,Current
9f187d70-5923-4dbd-9d88-99d5499b67af,2022-04-03,33037.940357310865,0.08331613549418962,36,750,0.1000912187102192,0.6231012802328773,5.0,57721.04534446723,other,Prepaid
7089db7d-7171-4390-a0ce-2e70ab649e2f,2021-10-13,22015.958256112528,0.09621969868836676,36,660,0.4558626516962815,0.7442431606751522,5.0,27046.649125674725,other,Default
f87c9ffc-187a-4fe6-a87b-199a5f652155,2025-02-17,11861.679667672637,0.14417865061991117,60,657,0.27684505060547043,0.811456338305385,3.0,32203.47835689584,other,Current
e0c564e1-cc9b-4f61-89e1-0d520ca848e1,2021-07-29,19674.63461093511,0.08035307304830133,36,740,0.5166884034816311,0.7606689313330252,5.0,48612.93411827498,major_purchase,Delinquent
87b20927-33e6-421e-84ba-2d5f21cf6bd7,2024-10-17,11897.65539048896,0.1474338050882318,36,746,0.3802949926519495,0.7596057161197559,10.0,23177.512386882627,home_improvement,Default
1c9e5074-889d-44e8-8c35-81249cd0522f,2025-02-25,11883.909286407721,0.14860165305470768,60,742,0.3448098213351024,0.5415885013018593,0.0,35936.3075096574,other,Current
7daa085a-762e-41cc-9327-5000bf65c4f4,2024-01-22,16929.05432914379,0.16064110781228413,60,634,0.24137723057190005,0.627089877329054,1.0,29225.777358686093,credit_card,Delinquent
16c68492-4fc4-410c-b878-1ec4c3f666e1,2021-06-28,5762.722842779948,0.08764661329619658,60,800,1.5,0.7395590226291091,10.0,49260.99059702266,home_improvement,Current
