Month,CURRENT,30_DPD,60_DPD,90_PLUS,DEFAULT,PREPAID
0,0.375,0.0,0.0,0.0,0.25,0.375
1,0.3680555555555556,0.005208333333333333,0.0,0.0,0.25,0.3767361111111111
2,0.3623971193415638,0.007137345679012346,0.002025462962962963,0.0,0.25,0.3784400720164609
3,0.3572721383935376,0.008259030635573846,0.0030006858710562414,0.0011252572016460906,0.2502250514403292,0.380117836457857
4,0.3525369463589867,0.008840777362868127,0.0035604609667967005,0.002716274015785333,0.25057366715995827,0.38177187413560487
5,0.34808322079798043,0.00912564011094502,0.00387039326526707,0.004510775858134341,0.25100598033966554,0.3834039896280076
6,0.34384802454384794,0.009243436613176585,0.0040398601698014005,0.006356212186261624,0.25149698046632163,0.3850154860205908
7,0.33979224983674844,0.00926808350596687,0.004129437905487077,0.008171105150893374,0.2520317485777956,0.38660737502310866
8,0.33589063589776547,0.009241244367939085,0.00417350147058484,0.009913135621223729,0.2526009953516155,0.3881804872908714
9,0.33212593267277385,0.009186409746241906,0.00419150093199777,0.011561941088432922,0.25319867902941473,0.38973553653113885
10,0.32848560416756956,0.009116797506659882,0.00419445745201259,0.013109340481615644,0.25382064380233327,0.3912731565898091
11,0.3249599521744604,0.009039822966475663,0.004188625330342916,0.014553828372864825,0.25446384788008625,0.39279392327577006
12,0.32154104489961666,0.0089596250072398,0.004177562880057591,0.01589747566332723,0.25512592405095885,0.3942983674988
